ds,input_dim,# lay,# neu,acc,enc_at_l,enc_eq,solver,ddup,ohe-ddup,h_type,h_solver,# gates,# gates_f,# cl,# var,# avg_cl_s,# avg_var_s,# expl,run_t,t_Model,t_Encoding,t_Explain,t/Exp,m_enc,m_expl,dedup_strat,exp_strat,proc_rounds
breast_cancer,41,2,26,0.6545454263687134,tot,bit,gc3,sat,N/A,lbx,mgh,52,19,188,105,506.32,256.00,10,0.5705289840698242,0.1861891746520996,0.35155296325683594,0.03236889839172363,0.0032368898391723633,428.15 KB,509.79 KB,full,mus,0
breast_cancer,41,2,26,0.6545454263687134,tot,bit,gc3,sat,N/A,lbx,mgh,52,19,188,105,506.32,256.00,10,0.315000057220459,0.01601576805114746,0.2801783084869385,0.01841878890991211,0.0018418788909912109,238.79 KB,285.49 KB,full,mus,0
breast_cancer,41,2,26,0.6545454263687134,tot,bit,gc3,sat,N/A,lbx,mgh,52,19,188,105,506.32,256.00,10,0.31596899032592773,0.014210939407348633,0.28299403190612793,0.018395185470581055,0.0018395185470581055,191.37 KB,244.9 KB,full,mus,0
breast_cancer,41,2,26,0.6545454263687134,tot,bit,gc3,sat,N/A,lbx,mgh,52,19,188,105,506.32,256.00,10,0.3174169063568115,0.013417959213256836,0.2840440273284912,0.019544124603271484,0.0019544124603271484,181.45 KB,223.88 KB,full,mus,0
breast_cancer,41,2,26,0.6545454263687134,tot,bit,gc3,sat,N/A,lbx,mgh,52,19,188,105,506.32,256.00,10,0.34698963165283203,0.013950824737548828,0.31310009956359863,0.01952385902404785,0.001952385902404785,194.53 KB,236.85 KB,full,mus,0
breast_cancer,41,2,26,0.6545454263687134,tot,bit,gc3,bdd,N/A,lbx,mgh,52,19,188,82,506.82,233.00,10,1.26155424118042,0.014199018478393555,1.227560043334961,0.019044160842895508,0.0019044160842895507,20.08 MB,327.5 KB,full,mus,0
breast_cancer,41,2,26,0.6545454263687134,tot,bit,gc3,bdd,N/A,lbx,mgh,52,19,188,82,506.82,233.00,10,1.2564139366149902,0.012662172317504883,1.2236478328704834,0.019340038299560547,0.0019340038299560547,19.96 MB,322.72 KB,full,mus,0
breast_cancer,41,2,26,0.6545454263687134,tot,bit,gc3,bdd,N/A,lbx,mgh,52,19,188,82,506.82,233.00,10,1.2650539875030518,0.015424966812133789,1.229015827178955,0.01987290382385254,0.0019872903823852537,19.96 MB,318.8 KB,full,mus,0
breast_cancer,41,2,26,0.6545454263687134,tot,bit,gc3,bdd,N/A,lbx,mgh,52,19,188,82,506.82,233.00,10,1.254699945449829,0.01420903205871582,1.219740867614746,0.019624948501586914,0.0019624948501586912,19.96 MB,318.71 KB,full,mus,0
breast_cancer,41,2,26,0.6545454263687134,tot,bit,gc3,bdd,N/A,lbx,mgh,52,19,188,82,506.82,233.00,10,1.2111577987670898,0.014567136764526367,1.1765727996826172,0.019277095794677734,0.0019277095794677734,19.96 MB,344.76 KB,full,mus,0
