ds,input_dim,# lay,# neu,acc,enc_at_l,enc_eq,solver,ddup,ohe-ddup,h_type,h_solver,# gates,# gates_f,# cl,# var,# avg_cl_s,# avg_var_s,# expl,run_t,t_Model,t_Encoding,t_Explain,t/Exp,m_enc,m_expl,dedup_strat,exp_strat,proc_rounds
breast_cancer,41,2,26,0.6545454263687134,seqc,pw,mgh,sat,0,sat,mgh,52,19,185,59,406.00,230.50,10,0.5390708446502686,0.1807699203491211,0.3230259418487549,0.0347599983215332,0.0034759998321533202,433.72 KB,519.28 KB,parent,mus,0
breast_cancer,41,2,26,0.6545454263687134,seqc,pw,mgh,sat,0,sat,mgh,52,19,185,59,406.00,230.50,10,0.34638214111328125,0.016961097717285156,0.3097841739654541,0.019188880920410156,0.0019188880920410155,252.57 KB,295.8 KB,parent,mus,0
breast_cancer,41,2,26,0.6545454263687134,seqc,pw,mgh,sat,0,sat,mgh,52,19,185,59,406.00,230.50,10,0.3398871421813965,0.01428985595703125,0.30679917335510254,0.01838994026184082,0.001838994026184082,192.84 KB,250.22 KB,parent,mus,0
breast_cancer,41,2,26,0.6545454263687134,seqc,pw,mgh,sat,0,sat,mgh,52,19,185,59,406.00,230.50,10,0.34464597702026367,0.014519214630126953,0.3107640743255615,0.018899917602539062,0.0018899917602539062,189.58 KB,222.19 KB,parent,mus,0
breast_cancer,41,2,26,0.6545454263687134,seqc,pw,mgh,sat,0,sat,mgh,52,19,185,59,406.00,230.50,10,0.37755417823791504,0.014269113540649414,0.3437819480895996,0.019083023071289062,0.0019083023071289062,202.66 KB,235.05 KB,parent,mus,0
breast_cancer,41,2,26,0.6545454263687134,seqc,pw,mgh,sat,0,sat,mgh,52,19,185,59,406.00,230.50,10,0.3410499095916748,0.014050960540771484,0.30850791931152344,0.018037080764770508,0.0018037080764770508,187.53 KB,219.75 KB,parent,mus,0
breast_cancer,41,2,26,0.6545454263687134,seqc,pw,mgh,sat,0,sat,mgh,52,19,185,59,406.00,230.50,10,0.3413660526275635,0.013737916946411133,0.308319091796875,0.018886089324951172,0.001888608932495117,189.2 KB,221.33 KB,parent,mus,0
breast_cancer,41,2,26,0.6545454263687134,seqc,pw,mgh,sat,0,sat,mgh,52,19,185,59,406.00,230.50,10,0.32654285430908203,0.01464390754699707,0.29206085205078125,0.01941204071044922,0.0019412040710449219,179.18 KB,211.25 KB,parent,mus,0
breast_cancer,41,2,26,0.6545454263687134,seqc,pw,mgh,sat,0,sat,mgh,52,19,185,59,406.00,230.50,10,0.32337188720703125,0.012444019317626953,0.2924079895019531,0.01810288429260254,0.0018102884292602538,215.28 KB,247.29 KB,parent,mus,0
breast_cancer,41,2,26,0.6545454263687134,seqc,pw,mgh,sat,0,sat,mgh,52,19,185,59,406.00,230.50,10,0.3286881446838379,0.013933897018432617,0.29413628578186035,0.020174741744995117,0.0020174741744995116,189 KB,221.02 KB,parent,mus,0
breast_cancer,41,2,26,0.6545454263687134,seqc,seqc,mgh,sat,0,sat,mgh,52,19,159,129,380.54,300.50,10,0.34700822830200195,0.020284175872802734,0.3072550296783447,0.019057035446166992,0.0019057035446166993,184.03 KB,220.44 KB,parent,mus,0
breast_cancer,41,2,26,0.6545454263687134,seqc,seqc,mgh,sat,0,sat,mgh,52,19,159,129,380.54,300.50,10,0.3358309268951416,0.013980865478515625,0.3021571636199951,0.019282102584838867,0.0019282102584838867,183.84 KB,220.21 KB,parent,mus,0
breast_cancer,41,2,26,0.6545454263687134,seqc,seqc,mgh,sat,0,sat,mgh,52,19,159,129,380.54,300.50,10,0.3408639430999756,0.014043807983398438,0.30824804306030273,0.01807999610900879,0.001807999610900879,173.93 KB,210.33 KB,parent,mus,0
breast_cancer,41,2,26,0.6545454263687134,seqc,seqc,mgh,sat,0,sat,mgh,52,19,159,129,380.54,300.50,10,0.34241509437561035,0.013390064239501953,0.30988192558288574,0.018661975860595703,0.0018661975860595702,183.79 KB,220.12 KB,parent,mus,0
breast_cancer,41,2,26,0.6545454263687134,seqc,seqc,mgh,sat,0,sat,mgh,52,19,159,129,380.54,300.50,10,0.33350038528442383,0.014437198638916016,0.2999269962310791,0.018738985061645508,0.0018738985061645507,173.04 KB,211.99 KB,parent,mus,0
