ds,input_dim,# lay,# neu,acc,enc_at_l,enc_eq,solver,ddup,ohe-ddup,h_type,h_solver,# gates,# gates_f,# cl,# var,# avg_cl_s,# avg_var_s,# expl,run_t,t_Model,t_Encoding,t_Explain,t/Exp,m_enc,m_expl,dedup_strat,exp_strat,proc_rounds
breast_cancer,41,2,26,0.6545454263687134,tot,bit,gc3,sat,0,lbx,mgh,52,19,188,105,506.32,256.00,10,0.561309814453125,0.1700730323791504,0.3549766540527344,0.03577613830566406,0.0035776138305664063,433.38 KB,517.28 KB,parent,mus,0
breast_cancer,41,2,26,0.6545454263687134,tot,bit,gc3,sat,0,lbx,mgh,52,19,188,105,506.32,256.00,10,0.3356590270996094,0.014470100402832031,0.3013341426849365,0.019427776336669922,0.0019427776336669923,251.96 KB,299.6 KB,parent,mus,0
breast_cancer,41,2,26,0.6545454263687134,tot,bit,gc3,sat,0,lbx,mgh,52,19,188,105,506.32,256.00,10,0.3258330821990967,0.012854814529418945,0.2932851314544678,0.019294023513793945,0.0019294023513793945,192.14 KB,251.33 KB,parent,mus,0
breast_cancer,41,2,26,0.6545454263687134,tot,bit,gc3,sat,0,lbx,mgh,52,19,188,105,506.32,256.00,10,0.3421509265899658,0.012789011001586914,0.3079659938812256,0.020997047424316406,0.0020997047424316405,188.84 KB,227.01 KB,parent,mus,0
breast_cancer,41,2,26,0.6545454263687134,tot,bit,gc3,sat,0,lbx,mgh,52,19,188,105,506.32,256.00,10,0.33217883110046387,0.012315034866333008,0.2993738651275635,0.02009105682373047,0.0020091056823730467,201.93 KB,239.99 KB,parent,mus,0
breast_cancer,41,2,26,0.6545454263687134,tot,bit,gc3,sat,N/A,lbx,mgh,52,19,188,105,506.32,256.00,10,0.3240489959716797,0.014727115631103516,0.2891557216644287,0.01970219612121582,0.001970219612121582,186.79 KB,224.74 KB,parent,mus,0
breast_cancer,41,2,26,0.6545454263687134,tot,bit,gc3,sat,N/A,lbx,mgh,52,19,188,105,506.32,256.00,10,0.3251931667327881,0.014655113220214844,0.2904329299926758,0.019708871841430664,0.0019708871841430664,188.46 KB,226.35 KB,parent,mus,0
breast_cancer,41,2,26,0.6545454263687134,tot,bit,gc3,sat,N/A,lbx,mgh,52,19,188,105,506.32,256.00,10,0.325761079788208,0.014809846878051758,0.2903170585632324,0.020146846771240234,0.0020146846771240236,178.44 KB,216.26 KB,parent,mus,0
breast_cancer,41,2,26,0.6545454263687134,tot,bit,gc3,sat,N/A,lbx,mgh,52,19,188,105,506.32,256.00,10,0.321789026260376,0.014557123184204102,0.2872898578643799,0.01955103874206543,0.001955103874206543,214.55 KB,252.32 KB,parent,mus,0
breast_cancer,41,2,26,0.6545454263687134,tot,bit,gc3,sat,N/A,lbx,mgh,52,19,188,105,506.32,256.00,10,0.3238639831542969,0.014779090881347656,0.2889068126678467,0.01978611946105957,0.001978611946105957,188.27 KB,226.07 KB,parent,mus,0
adult,115,2,58,0.786057934922687,tot,bit,gc3,sat,1,lbx,mgh,116,44,739,266,2395.57,726.50,328,2.7629809379577637,1.2073612213134766,0.9996058940887451,0.555229902267456,0.0016927740922788295,764.75 KB,1.27 MB,parent,mus,0
adult,115,2,58,0.786057934922687,tot,bit,gc3,sat,1,lbx,mgh,116,44,739,266,2395.57,726.50,328,3.1866750717163086,1.196854829788208,1.1461172103881836,0.8429019451141357,0.0025698230033967553,509.84 KB,1.04 MB,parent,mus,0
adult,115,2,58,0.786057934922687,tot,bit,gc3,sat,1,lbx,mgh,116,44,739,266,2395.57,726.50,328,2.954968214035034,1.2762134075164795,1.0079517364501953,0.6696970462799072,0.0020417592874387414,618.45 KB,1.06 MB,parent,mus,0
adult,115,2,58,0.786057934922687,tot,bit,gc3,sat,1,lbx,mgh,116,44,739,266,2395.57,726.50,328,2.853588342666626,1.214820146560669,1.0571770668029785,0.5803420543670654,0.0017693355316069069,645.03 KB,1.12 MB,parent,mus,0
adult,115,2,58,0.786057934922687,tot,bit,gc3,sat,1,lbx,mgh,116,44,739,266,2395.57,726.50,328,2.802147150039673,1.2015039920806885,1.0191471576690674,0.5807299613952637,0.00177051817498556,500.16 KB,942.85 KB,parent,mus,0
adult,115,2,58,0.786057934922687,tot,bit,gc3,sat,N/A,lbx,mgh,116,44,739,266,2395.57,726.50,328,2.938148021697998,1.349639892578125,0.9990332126617432,0.588554859161377,0.0017943745706139541,500.25 KB,945.73 KB,parent,mus,0
adult,115,2,58,0.786057934922687,tot,bit,gc3,sat,N/A,lbx,mgh,116,44,739,266,2395.57,726.50,328,2.9975287914276123,1.3476717472076416,1.0422041416168213,0.6066880226135254,0.0018496586055290409,642.51 KB,1.12 MB,parent,mus,0
adult,115,2,58,0.786057934922687,tot,bit,gc3,sat,N/A,lbx,mgh,116,44,739,266,2395.57,726.50,328,3.4335601329803467,1.8056530952453613,1.0170989036560059,0.6093730926513672,0.0018578447946688023,526.14 KB,976.42 KB,parent,mus,0
adult,115,2,58,0.786057934922687,tot,bit,gc3,sat,N/A,lbx,mgh,116,44,739,266,2395.57,726.50,328,2.829822063446045,1.2464141845703125,0.9953858852386475,0.5870320796966553,0.0017897319502946808,779.81 KB,1.26 MB,parent,mus,0
adult,115,2,58,0.786057934922687,tot,bit,gc3,sat,N/A,lbx,mgh,116,44,739,266,2395.57,726.50,328,2.9213361740112305,1.2731261253356934,1.0103528499603271,0.6369049549102783,0.0019417833991167022,500.03 KB,945.29 KB,parent,mus,0
monk1,17,2,10,0.73828125,tot,bit,gc3,sat,0,lbx,mgh,20,6,67,51,140.50,103.00,4,0.25516796112060547,0.12426114082336426,0.1195378303527832,0.01106715202331543,0.0027667880058288574,102.08 KB,123.95 KB,parent,mus,0
monk1,17,2,10,0.73828125,tot,bit,gc3,sat,0,lbx,mgh,20,6,67,51,140.50,103.00,4,0.13391685485839844,0.01987290382385254,0.10744309425354004,0.006257057189941406,0.0015642642974853516,98.54 KB,125.35 KB,parent,mus,0
monk1,17,2,10,0.73828125,tot,bit,gc3,sat,0,lbx,mgh,20,6,67,51,140.50,103.00,4,0.14620184898376465,0.02358078956604004,0.11528396606445312,0.006988048553466797,0.0017470121383666992,98.69 KB,125.5 KB,parent,mus,0
monk1,17,2,10,0.73828125,tot,bit,gc3,sat,0,lbx,mgh,20,6,67,51,140.50,103.00,4,0.1346433162689209,0.0202481746673584,0.10757589340209961,0.006426095962524414,0.0016065239906311035,98.52 KB,125.3 KB,parent,mus,0
monk1,17,2,10,0.73828125,tot,bit,gc3,sat,0,lbx,mgh,20,6,67,51,140.50,103.00,4,0.13965964317321777,0.01870274543762207,0.11316108703613281,0.007400035858154297,0.0018500089645385742,98.8 KB,125.58 KB,parent,mus,0
monk1,17,2,10,0.73828125,tot,bit,gc3,sat,N/A,lbx,mgh,20,6,67,51,140.50,103.00,4,0.15078091621398926,0.020704030990600586,0.12175703048706055,0.00797891616821289,0.0019947290420532227,98.67 KB,125.44 KB,parent,mus,0
monk1,17,2,10,0.73828125,tot,bit,gc3,sat,N/A,lbx,mgh,20,6,67,51,140.50,103.00,4,0.14027786254882812,0.019066810607910156,0.11334013938903809,0.00747990608215332,0.00186997652053833,98.51 KB,125.28 KB,parent,mus,0
monk1,17,2,10,0.73828125,tot,bit,gc3,sat,N/A,lbx,mgh,20,6,67,51,140.50,103.00,4,0.2097949981689453,0.020484209060668945,0.18186473846435547,0.007139921188354492,0.001784980297088623,98.67 KB,125.44 KB,parent,mus,0
monk1,17,2,10,0.73828125,tot,bit,gc3,sat,N/A,lbx,mgh,20,6,67,51,140.50,103.00,4,0.16460609436035156,0.02814507484436035,0.12885808944702148,0.0071868896484375,0.001796722412109375,99.04 KB,125.81 KB,parent,mus,0
monk1,17,2,10,0.73828125,tot,bit,gc3,sat,N/A,lbx,mgh,20,6,67,51,140.50,103.00,4,0.15046095848083496,0.02300286293029785,0.12008023262023926,0.007016897201538086,0.0017542243003845215,98.51 KB,125.28 KB,parent,mus,0
monk2,17,2,10,0.6653645783662796,tot,bit,gc3,sat,0,lbx,mgh,20,9,70,51,117.50,88.00,4,0.2061471939086914,0.05837607383728027,0.1380610466003418,0.009332895278930664,0.002333223819732666,102.5 KB,124.1 KB,parent,mus,0
monk2,17,2,10,0.6653645783662796,tot,bit,gc3,sat,0,lbx,mgh,20,9,70,51,117.50,88.00,4,0.20257306098937988,0.03086090087890625,0.16120696067810059,0.010120153427124023,0.002530038356781006,103.18 KB,119.14 KB,parent,mus,0
monk2,17,2,10,0.6653645783662796,tot,bit,gc3,sat,0,lbx,mgh,20,9,70,51,117.50,88.00,4,0.20211315155029297,0.035006046295166016,0.15632200241088867,0.010360002517700195,0.002590000629425049,103.63 KB,121.88 KB,parent,mus,0
monk2,17,2,10,0.6653645783662796,tot,bit,gc3,sat,0,lbx,mgh,20,9,70,51,117.50,88.00,4,0.16457390785217285,0.028921842575073242,0.12699222564697266,0.008231878280639648,0.002057969570159912,103.2 KB,119.02 KB,parent,mus,0
monk2,17,2,10,0.6653645783662796,tot,bit,gc3,sat,0,lbx,mgh,20,9,70,51,117.50,88.00,4,0.17412805557250977,0.02465510368347168,0.13785696029663086,0.010710954666137695,0.002677738666534424,103.2 KB,118.82 KB,parent,mus,0
monk2,17,2,10,0.6653645783662796,tot,bit,gc3,sat,N/A,lbx,mgh,20,9,70,51,117.50,88.00,4,0.1588118076324463,0.028063058853149414,0.12224197387695312,0.00815892219543457,0.0020397305488586426,103.36 KB,119.91 KB,parent,mus,0
monk2,17,2,10,0.6653645783662796,tot,bit,gc3,sat,N/A,lbx,mgh,20,9,70,51,117.50,88.00,4,0.16204595565795898,0.022547006607055664,0.12854814529418945,0.010521888732910156,0.002630472183227539,103.49 KB,119.45 KB,parent,mus,0
monk2,17,2,10,0.6653645783662796,tot,bit,gc3,sat,N/A,lbx,mgh,20,9,70,51,117.50,88.00,4,0.24384784698486328,0.029002904891967773,0.19495916366577148,0.017214059829711914,0.0043035149574279785,103.36 KB,119.03 KB,parent,mus,0
monk2,17,2,10,0.6653645783662796,tot,bit,gc3,sat,N/A,lbx,mgh,20,9,70,51,117.50,88.00,4,0.21669507026672363,0.06228804588317871,0.14436793327331543,0.009582042694091797,0.0023955106735229492,103.2 KB,120.79 KB,parent,mus,0
monk2,17,2,10,0.6653645783662796,tot,bit,gc3,sat,N/A,lbx,mgh,20,9,70,51,117.50,88.00,4,0.18932890892028809,0.03328084945678711,0.14460992813110352,0.011092185974121094,0.0027730464935302734,103.2 KB,120.04 KB,parent,mus,0
monk3,17,2,10,0.9635416716337204,tot,bit,gc3,sat,0,lbx,mgh,20,2,37,42,110.50,94.00,3,0.17559814453125,0.054657936096191406,0.11389803886413574,0.006681203842163086,0.0022270679473876953,63.68 KB,110.55 KB,parent,mus,0
monk3,17,2,10,0.9635416716337204,tot,bit,gc3,sat,0,lbx,mgh,20,2,37,42,110.50,94.00,3,0.15131497383117676,0.02227306365966797,0.12120199203491211,0.007459163665771484,0.0024863878885904946,63.37 KB,110.02 KB,parent,mus,0
monk3,17,2,10,0.9635416716337204,tot,bit,gc3,sat,0,lbx,mgh,20,2,37,42,110.50,94.00,3,0.14976811408996582,0.023408889770507812,0.11954307556152344,0.006467103958129883,0.0021557013193766275,63.53 KB,110.47 KB,parent,mus,0
monk3,17,2,10,0.9635416716337204,tot,bit,gc3,sat,0,lbx,mgh,20,2,37,42,110.50,94.00,3,0.1458299160003662,0.022829771041870117,0.11624026298522949,0.006381988525390625,0.0021273295084635415,63.37 KB,109.54 KB,parent,mus,0
monk3,17,2,10,0.9635416716337204,tot,bit,gc3,sat,0,lbx,mgh,20,2,37,42,110.50,94.00,3,0.14275407791137695,0.023624420166015625,0.11241483688354492,0.0063800811767578125,0.0021266937255859375,63.66 KB,110.24 KB,parent,mus,0
