ds,input_dim,# lay,# neu,acc,enc_at_l,enc_eq,solver,ddup,ohe-ddup,h_type,h_solver,# gates,# gates_f,# cl,# var,# avg_cl_s,# avg_var_s,# expl,run_t,t_Model,t_Encoding,t_Explain,t/Exp,m_enc,m_expl,dedup_strat,exp_strat,proc_rounds
breast_cancer,41,5,128,0.7090908885002136,tot,bit,gc3,sat,1,lbx,mgh,640,331,4648,505,13607.50,1850.00,8,99.59793186187744,0.16759800910949707,99.3016197681427,0.12749004364013672,0.01593625545501709,2.28 MB,3.57 MB,parent,mus,0
breast_cancer,41,5,128,0.7090908885002136,tot,bit,gc3,sat,1,lbx,mgh,640,331,4648,505,13607.50,1850.00,8,240.90555214881897,0.028371810913085938,240.7598831653595,0.11608004570007324,0.014510005712509155,2.03 MB,3.48 MB,b_full,mus,0
breast_cancer,41,5,128,0.7090908885002136,tot,bit,gc3,sat,0,lbx,mgh,640,331,4648,505,13607.50,1850.00,8,364.0243909358978,0.026958942413330078,363.830335855484,0.1657090187072754,0.020713627338409424,1.93 MB,3.33 MB,full,mus,0
adult,115,5,256,0.8472085605233403,tot,bit,gc3,sat,12,lbx,mgh,1280,535,5377,736,37345.52,3673.00,153,711.384840965271,2.4436731338500977,707.7193019390106,1.220163106918335,0.007974922267440098,3.07 MB,8.46 MB,parent,mus,0
adult,115,5,256,0.8472085605233403,tot,bit,gc3,sat,12,lbx,mgh,1280,535,5377,736,37345.52,3673.00,153,1755.4970359802246,2.3589959144592285,1751.866150856018,1.2689793109893799,0.008293982424767189,3.06 MB,8.35 MB,b_full,mus,0
adult,115,5,256,0.8472085605233403,tot,bit,gc3,sat,0,lbx,mgh,1280,535,5377,736,37345.52,3673.00,153,2587.937639951706,2.3586020469665527,2584.347508907318,1.2283179759979248,0.008028222065345914,3.01 MB,8.27 MB,full,mus,0
monk1,17,6,24,1.0,tot,bit,gc3,sat,4,lbx,mgh,144,56,627,94,1002.50,263.00,4,1.21502685546875,0.11821413040161133,1.080502986907959,0.015729904174804688,0.003932476043701172,339.87 KB,397.95 KB,parent,mus,0
monk1,17,6,24,1.0,tot,bit,gc3,sat,4,lbx,mgh,144,56,627,94,1002.50,263.00,4,1.4704298973083496,0.041552066802978516,1.4164819717407227,0.01181793212890625,0.0029544830322265625,337.49 KB,399.24 KB,b_full,mus,0
monk1,17,6,24,1.0,tot,bit,gc3,sat,0,lbx,mgh,144,56,627,94,1002.50,263.00,4,2.011305093765259,0.0432279109954834,1.9560811519622803,0.011464118957519531,0.002866029739379883,324.43 KB,372.97 KB,full,mus,0
monk2,17,6,12,0.7526041716337204,tot,bit,gc3,sat,0,lbx,mgh,72,40,803,98,906.50,165.00,12,0.8529608249664307,0.11771678924560547,0.7190959453582764,0.015679121017456055,0.0013065934181213379,324.39 KB,349.31 KB,parent,mus,0
monk2,17,6,12,0.7526041716337204,tot,bit,gc3,sat,0,lbx,mgh,72,40,803,98,906.50,165.00,12,0.861487865447998,0.0486600399017334,0.8000030517578125,0.012334823608398438,0.0010279019673665364,324.87 KB,347.17 KB,b_full,mus,0
monk2,17,6,12,0.7526041716337204,tot,bit,gc3,sat,0,lbx,mgh,72,40,803,98,906.50,165.00,12,0.9761219024658203,0.04907989501953125,0.9141590595245361,0.012404918670654297,0.0010337432225545247,322.01 KB,351.15 KB,full,mus,0
monk3,17,6,12,0.9635416716337204,tot,bit,gc3,sat,13,lbx,mgh,72,11,79,47,182.50,114.00,3,0.40149521827697754,0.06590628623962402,0.3286128044128418,0.006612062454223633,0.0022040208180745444,132 KB,170.38 KB,parent,mus,0
monk3,17,6,12,0.9635416716337204,tot,bit,gc3,sat,13,lbx,mgh,72,11,79,47,182.50,114.00,3,0.3701190948486328,0.04145097732543945,0.3216869831085205,0.006628990173339844,0.0022096633911132812,130.09 KB,167.96 KB,b_full,mus,0
monk3,17,6,12,0.9635416716337204,tot,bit,gc3,sat,0,lbx,mgh,72,11,79,47,182.50,114.00,3,0.40980982780456543,0.04274773597717285,0.3601412773132324,0.006563901901245117,0.002187967300415039,109.59 KB,162.34 KB,full,mus,0
iris,8,5,24,0.8333333134651184,tot,bit,gc3,sat,9,lbx,mgh,120,30,222,27,397.50,188.00,3,0.8019382953643799,0.06888699531555176,0.7190711498260498,0.013617992401123047,0.004539330800374349,211 KB,226.81 KB,parent,mus,0
iris,8,5,24,0.8333333134651184,tot,bit,gc3,sat,9,lbx,mgh,120,29,222,26,397.50,187.00,3,0.7541069984436035,0.017288923263549805,0.7275700569152832,0.00881814956665039,0.0029393831888834634,209.81 KB,227.82 KB,b_full,mus,0
iris,8,5,24,0.8333333134651184,tot,bit,gc3,sat,0,lbx,mgh,120,29,222,26,397.50,187.00,3,0.9154551029205322,0.01651310920715332,0.8890459537506104,0.009387016296386719,0.0031290054321289062,200.2 KB,217.25 KB,full,mus,0
