ds,input_dim,# lay,# neu,acc,enc_at_l,enc_eq,solver,ddup,ohe-ddup,h_type,h_solver,# gates,# gates_f,# cl,# var,# avg_cl_s,# avg_var_s,# expl,run_t,t_Model,t_Encoding,t_Explain,t/Exp,m_enc,m_expl,dedup_strat,exp_strat,proc_rounds
breast_cancer,41,2,26,0.6545454263687134,tot,bit,gc3,sat,0,lbx,mgh,52,19,188,105,506.32,256.00,10,0.5403151512145996,0.17110419273376465,0.33255600929260254,0.03607177734375,0.003607177734375,434.26 KB,520.2 KB,parent,mus,0
breast_cancer,41,2,26,0.6545454263687134,tot,bit,gc3,sat,0,lbx,mgh,52,19,188,105,506.32,256.00,10,0.3280320167541504,0.016971111297607422,0.2908437252044678,0.019782304763793945,0.0019782304763793944,251.96 KB,298.96 KB,parent,mus,0
breast_cancer,41,2,26,0.6545454263687134,tot,bit,gc3,sat,0,lbx,mgh,52,19,188,105,506.32,256.00,10,0.3708770275115967,0.015300989151000977,0.33397507667541504,0.0212099552154541,0.0021209955215454102,192.14 KB,248.19 KB,parent,mus,0
breast_cancer,41,2,26,0.6545454263687134,tot,bit,gc3,sat,0,lbx,mgh,52,19,188,105,506.32,256.00,10,0.3287789821624756,0.015531063079833984,0.2911067008972168,0.021723270416259766,0.0021723270416259765,188.84 KB,227.01 KB,parent,mus,0
breast_cancer,41,2,26,0.6545454263687134,tot,bit,gc3,sat,0,lbx,mgh,52,19,188,105,506.32,256.00,10,0.31396913528442383,0.015474319458007812,0.27846670150756836,0.019651174545288086,0.0019651174545288084,201.93 KB,239.99 KB,parent,mus,0
breast_cancer,41,2,26,0.6545454263687134,tot,bit,gc3,sat,0,lbx,mgh,52,19,188,105,506.32,256.00,10,0.3012659549713135,0.012871980667114258,0.26741790771484375,0.02056598663330078,0.002056598663330078,179.45 KB,221.66 KB,full,mus,0
breast_cancer,41,2,26,0.6545454263687134,tot,bit,gc3,sat,0,lbx,mgh,52,19,188,105,506.32,256.00,10,0.32624197006225586,0.015258073806762695,0.2902641296386719,0.020322799682617188,0.0020322799682617188,181.07 KB,223.21 KB,full,mus,0
breast_cancer,41,2,26,0.6545454263687134,tot,bit,gc3,sat,0,lbx,mgh,52,19,188,105,506.32,256.00,10,0.3274269104003906,0.015727758407592773,0.29077720642089844,0.020498991012573242,0.002049899101257324,168.98 KB,211.05 KB,full,mus,0
breast_cancer,41,2,26,0.6545454263687134,tot,bit,gc3,sat,0,lbx,mgh,52,19,188,105,506.32,256.00,10,0.31752800941467285,0.014723062515258789,0.28238606452941895,0.020053863525390625,0.0020053863525390627,207.16 KB,249.19 KB,full,mus,0
breast_cancer,41,2,26,0.6545454263687134,tot,bit,gc3,sat,0,lbx,mgh,52,19,188,105,506.32,256.00,10,0.313507080078125,0.01382589340209961,0.278839111328125,0.02025914192199707,0.002025914192199707,180.88 KB,222.93 KB,full,mus,0
breast_cancer,41,2,26,0.6545454263687134,tot,bit,gc3,sat,0,lbx,mgh,52,19,188,105,506.32,256.00,10,0.3284327983856201,0.01407170295715332,0.29430508613586426,0.019628047943115234,0.0019628047943115235,188.41 KB,226.12 KB,b_full,mus,0
breast_cancer,41,2,26,0.6545454263687134,tot,bit,gc3,sat,0,lbx,mgh,52,19,188,105,506.32,256.00,10,0.33841466903686523,0.01450490951538086,0.3013019561767578,0.022119998931884766,0.0022119998931884764,188.21 KB,225.89 KB,b_full,mus,0
breast_cancer,41,2,26,0.6545454263687134,tot,bit,gc3,sat,0,lbx,mgh,52,19,188,105,506.32,256.00,10,0.3316347599029541,0.012897729873657227,0.29717302322387695,0.021173954010009766,0.0021173954010009766,178.36 KB,216.02 KB,b_full,mus,0
breast_cancer,41,2,26,0.6545454263687134,tot,bit,gc3,sat,0,lbx,mgh,52,19,188,105,506.32,256.00,10,0.33606886863708496,0.0133819580078125,0.30233311653137207,0.01988983154296875,0.001988983154296875,188.16 KB,225.81 KB,b_full,mus,0
breast_cancer,41,2,26,0.6545454263687134,tot,bit,gc3,sat,0,lbx,mgh,52,19,188,105,506.32,256.00,10,0.33344006538391113,0.014389991760253906,0.2977020740509033,0.02095484733581543,0.002095484733581543,177.13 KB,214.76 KB,b_full,mus,0
adult,115,2,58,0.786057934922687,tot,bit,gc3,sat,1,lbx,mgh,116,44,739,266,2395.57,726.50,328,2.773345708847046,1.209728717803955,0.9164762496948242,0.646312952041626,0.0019704663172000793,813.96 KB,1.32 MB,parent,mus,0
adult,115,2,58,0.786057934922687,tot,bit,gc3,sat,1,lbx,mgh,116,44,739,266,2395.57,726.50,328,2.607391834259033,1.0742897987365723,0.9247281551361084,0.6075966358184814,0.0018524287677392727,500.4 KB,913.38 KB,parent,mus,0
adult,115,2,58,0.786057934922687,tot,bit,gc3,sat,1,lbx,mgh,116,44,739,266,2395.57,726.50,328,2.5737831592559814,1.086648941040039,0.905076265335083,0.5809307098388672,0.0017711302129233756,644.03 KB,1.12 MB,parent,mus,0
adult,115,2,58,0.786057934922687,tot,bit,gc3,sat,1,lbx,mgh,116,44,739,266,2395.57,726.50,328,2.8816261291503906,1.3413982391357422,0.9814639091491699,0.5577969551086426,0.001700600472892203,500.08 KB,947.88 KB,parent,mus,0
adult,115,2,58,0.786057934922687,tot,bit,gc3,sat,1,lbx,mgh,116,44,739,266,2395.57,726.50,328,2.651705026626587,1.1774578094482422,0.9278299808502197,0.5455338954925537,0.0016632130960138832,645.26 KB,1.12 MB,parent,mus,0
