ds,input_dim,# lay,# neu,acc,enc_at_l,enc_eq,solver,ddup,ohe-ddup,h_type,h_solver,# gates,# gates_f,# cl,# var,# avg_cl_s,# avg_var_s,# expl,run_t,t_Model,t_Encoding,t_Explain,t/Exp,m_enc,m_expl,dedup_strat,exp_strat,proc_rounds
breast_cancer,41,5,128,0.7090908885002136,tot,bit,gc3,sat,0,lbx,mgh,640,331,4648,505,13607.50,1850.00,8,372.7380278110504,0.277163028717041,372.2611527442932,0.19829297065734863,0.02478662133216858,2.26 MB,3.47 MB,full,mus,0
breast_cancer,41,5,128,0.7090908885002136,tot,bit,gc3,bdd,0,lbx,mgh,640,331,4648,482,13607.50,1827.00,8,261.66397309303284,0.05879926681518555,261.40427589416504,0.19817090034484863,0.02477136254310608,4.2 GB,3.28 MB,full,mus,0
breast_cancer,41,5,128,0.7090908885002136,tot,bit,gc3,,0,lbx,mgh,640,640,5004,509,13963.50,1854.00,8,2.6376397609710693,0.031213045120239258,2.4839038848876953,0.12108492851257324,0.015135616064071655,2.08 MB,3.63 MB,full,mus,0
adult,115,5,256,0.8472085605233403,tot,bit,gc3,sat,0,lbx,mgh,1280,535,5377,736,37345.52,3673.00,153,2576.571888923645,2.398859977722168,2572.901981115341,1.2686290740966797,0.00829169329474954,3.07 MB,8.45 MB,full,mus,0
adult,115,5,256,0.8472085605233403,tot,bit,gc3,bdd,0,lbx,mgh,1280,535,5377,689,37346.50,3626.00,153,985.7149109840393,2.349951982498169,982.1247549057007,1.2369511127471924,0.008084647795733283,10.28 GB,8.48 MB,full,mus,0
adult,115,5,256,0.8472085605233403,tot,bit,gc3,,0,lbx,mgh,1280,1280,6927,816,39590.18,3793.50,153,7.490755081176758,2.37014102935791,3.7906081676483154,1.3281359672546387,0.008680627236958423,2.99 MB,8.86 MB,full,mus,0
monk1,17,6,24,1.0,tot,bit,gc3,sat,0,lbx,mgh,144,56,627,94,1002.50,263.00,4,2.1075620651245117,0.12433838844299316,1.965108871459961,0.015949010848999023,0.003987252712249756,508.21 KB,559.3 KB,full,mus,0
monk1,17,6,24,1.0,tot,bit,gc3,bdd,0,lbx,mgh,144,56,627,82,1002.50,251.00,4,4.698991060256958,0.04210615158081055,4.63937783241272,0.016537189483642578,0.0041342973709106445,32.57 MB,503.62 KB,full,mus,0
monk1,17,6,24,1.0,tot,bit,gc3,,0,lbx,mgh,144,144,862,107,1237.50,276.00,4,0.5405960083007812,0.04646182060241699,0.4810760021209717,0.012529850006103516,0.003132462501525879,377.15 KB,419.79 KB,full,mus,0
monk2,17,6,12,0.7526041716337204,tot,bit,gc3,sat,0,lbx,mgh,72,40,803,98,906.50,165.00,12,1.0515170097351074,0.11514997482299805,0.9195311069488525,0.016223907470703125,0.0013519922892252605,321.47 KB,353.19 KB,full,mus,0
monk2,17,6,12,0.7526041716337204,tot,bit,gc3,bdd,0,lbx,mgh,72,40,803,86,906.50,153.00,12,4.4879491329193115,0.04887700080871582,4.4207680225372314,0.017332077026367188,0.0014443397521972656,31.44 MB,443.99 KB,full,mus,0
monk2,17,6,12,0.7526041716337204,tot,bit,gc3,,0,lbx,mgh,72,72,1022,95,1125.50,162.00,12,0.6236400604248047,0.04935407638549805,0.5602741241455078,0.012359857559204102,0.001029988129933675,347.13 KB,358.4 KB,full,mus,0
monk3,17,6,12,0.9635416716337204,tot,bit,gc3,sat,0,lbx,mgh,72,11,79,47,182.50,114.00,3,0.44269800186157227,0.06792092323303223,0.36741018295288086,0.006758928298950195,0.002252976099650065,110.83 KB,160.91 KB,full,mus,0
monk3,17,6,12,0.9635416716337204,tot,bit,gc3,bdd,0,lbx,mgh,72,11,79,35,182.50,102.00,3,0.6180019378662109,0.04228091239929199,0.5682108402252197,0.0069539546966552734,0.0023179848988850913,1.85 MB,226.8 KB,full,mus,0
monk3,17,6,12,0.9635416716337204,tot,bit,gc3,,0,lbx,mgh,72,72,163,42,266.50,109.00,3,0.235090970993042,0.04212188720703125,0.18601322174072266,0.0065691471099853516,0.0021897157033284507,156.21 KB,175.84 KB,full,mus,0
iris,8,5,24,0.8333333134651184,tot,bit,gc3,sat,0,lbx,mgh,120,29,222,26,397.50,187.00,3,1.0271410942077637,0.07139015197753906,0.9416258335113525,0.013604164123535156,0.004534721374511719,201.26 KB,218.12 KB,full,mus,0
iris,8,5,24,0.8333333134651184,tot,bit,gc3,bdd,0,lbx,mgh,120,29,222,26,397.50,187.00,3,1.438533067703247,0.01756000518798828,1.4113471508026123,0.008970975875854492,0.0029903252919514975,2.94 MB,313.23 KB,full,mus,0
iris,8,5,24,0.8333333134651184,tot,bit,gc3,,0,lbx,mgh,120,120,468,56,643.50,217.00,3,0.3433830738067627,0.018073081970214844,0.315565824508667,0.009227991104125977,0.0030759970347086587,260.32 KB,275.55 KB,full,mus,0
